영상ID,영상제목,조회수,좋아요수,댓글수,채널ID,채널명,댓글수/조회수,좋아요수/조회수
-jehY4KLwLA,🎡 마음만은 고딩^^~! 22살 어른들의 부산 롯데월드 다 뿌시는 VLOG🫧,52036,2182,75,UCDITZg2t7QPjwx_CYFmP_aw,모르는지,0.1441309862402952,4.1932508263509884
oa6aA7j6pAs,사람의 본성이 그렇습니다.,712286,16227,720,UCge7_XKOimwMM0UP34siqNw,서람TV_힐링크리에이터,0.10108299194424711,2.278157930943469
Xk1IIRmiUzA,임창정네 6부자👨‍👨‍👦 엄마 없이 첫 동반 외출하는 날!💥 [동상이몽|220530 SBS방송],1129943,8835,471,UCy-swBYpRZx7KW11FStjTgw,레알예능 스브스,0.04168351854916575,0.7818978479445423
zFUJ2x3IV24,[ENG SUB] 리뉴얼하자마자 매점 강도 등장?? 신상 아이스크림만 털어가는 클라씨의 클라쓰😎 [매터돌 EP.11] | IDOL’S Snack Spree | CLASS:y,202989,5518,198,UCeLPm9yH_a_QH8n6445G-Ow,KBS Kpop,0.09754223135243782,2.7183739020341005
3M7J8StoUL0,연예인병 쓰레기 웹드라마 배우 참교육,251727,4432,277,UCJ-ofC67CjMxBRmRIb6s9-w,PANGPANG STUDIO,0.11003984475245007,1.7606375160392012
X9i2zEu1Juk,"혜안이 직접 하는 ""혜안 패션 월드컵""ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",238631,10787,875,UC8CIM3d3zDYMk-3T5aAz0yw,혜안,0.36667490812174447,4.520368267324866
G2VotZAuCRI,도쿄 디즈니씨 Vlog🎡 내가 일본인 남자친구를 만나는 이유는? | 일본 도쿄 브이로그 #한일커플 | Tokyo Disney 디즈니랜드,79430,3025,434,UCa8kktUkK9JWZQoudZ_o5pg,Tacosama 타코사마,0.5463930504847035,3.8083847412816314
PQRgdbiYsho,[역대급] 남자친구 생긴 기념!! 인생템으로 하는 💘청순•청초•말랑말랑💘 데이트 메이크업ㅣ(with.하파크리스틴),410,0,0,UC2fouJBO1q84m_qW8LMsH1Q,자매 JAMAE,0.0,0.0
0AzQ2TYlIx8,[특종세상] 허름한 움막에서 살며 30년째 아슬아슬한 뗏목을 타고 강을 건너는 할아버지 [Full영상],65989,750,49,UC1rVspUVgsWRqvSPGe7mSRQ,특종세상 - 그때 그 사람 (MBN 공식 채널),0.07425480004243132,1.1365530618739488
jMHFakMfd4k,브이로그#80 애슐리퀸즈 뷔페🍗| 코피 병원🩸|중국집 생파🎂|홈포차⛺️|키즈카페🐣|용가리 떡갈비🦖,49404,1246,124,UCkMN06eC97XL1qR1bExdwWg,기용이tv,0.2509918225244919,2.522062990850943
Q3B-gVt5mYs,[놀면 뭐하니?] 흥 만취 200%! 숨겨진 비글美 대방출하는 그녀들 MBC 220604 방송 (Hangout with Yoo),263070,4187,562,UCx6jsZ02B4K3SECUrkgPyzg,놀면 뭐하니?,0.2136313528718592,1.5915915915915915
CGu3yatXxqI,남의 남자,520178,10795,854,UChgOgRNxrtCcVARDQT_c-Zg,짧은대본 ShortPaper,0.16417457101223043,2.075251164024622
fkaOeBiTl4I,최애 쇼핑몰에서 봄 옷 왕창 사기🌼🌿 / 봄 코디 룩북 / 키작녀 코디💁🏻‍♀️♥️,82192,1130,91,UCII-TCayU-6gkfzfgJKsFZw,망구 MANGOO,0.11071637142300954,1.3748296671208877
gt3GIy93G_w,오디션 보러갔는데 비타민 언니들이 심사위원이라고??? 헉.. 과연 뚜아뚜지는 비타민의 새멤버가 될 수 있을까요???,200547,3601,351,UCbbC0FaznmgJDuehIuQvYMA,뚜아뚜지TV,0.1750213166988287,1.7955890639102055
XIKWjS0dDVE,"[먹방 브이로그#51] 왜 벌써 6월이야..? 나이는 먹기 싫고 밥은 먹고 싶고🍚 삼첩분식 바질떡볶이,체다이불감자폭탄,황치즈쿠키,스콘,마들렌,크럼블,참치비빔밥,된장찌개,선이랑도넛",258764,5482,469,UC26QQCGh66xFU_NjhYLwdQQ,살빼조DietJo,0.18124623208792567,2.118532717070381
kbNWwLAzjbI,"저희 드디어 결혼 날짜 정했습니다! 양가 부모님, 사장님과 함께 결혼 날짜 정하기♥",244471,4597,619,UCWWnWFPkfXMIjxNhBu5qVtg,매일제히,0.25319976602541816,1.8803866307251167
5_MaT1e0EKI,(VLOG) 23살 먹고 교복 놀이동산 데이트💕 부산 롯데월드 다녀온 찐 후기!!🎡 꼭 가세요 ㄷㄷ,230870,2478,132,UCII-TCayU-6gkfzfgJKsFZw,망구 MANGOO,0.05717503356867501,1.0733313119937626
i9PWAVG_wP0,고3 졸업사진 같이 준비해요💙 | 04년생 졸사 겟레디윗미+짧은VLOG✨| 학생 메이크업(영상에는 썸네일 옷 5초 나옴) | WATCH윤와치,3957,133,42,UC5wxFINyjqe-wvs0dcoypgA,윤와치WATCH,1.061410159211524,3.361132170836492
7xPHwSFucrc,그토록 요청하시던! 요즘 하는 데일리 메이크업 🤫💄 / 속눈썹 붙이기 / 메이크업 꿀팁,81271,1400,101,UCII-TCayU-6gkfzfgJKsFZw,망구 MANGOO,0.1242755718521982,1.722631689040371
RYaaUeJNaxI,📝새해 버킷리스트 유기견 봉사활동 VLOG🌟,36206,755,51,UCII-TCayU-6gkfzfgJKsFZw,망구 MANGOO,0.14086063083466827,2.0852897309838148
9wMzK4UKndA,삶의 질을 높여주는 나의 소중한 찐 애정템 12가지🌼 / 필수템 / 광고없음 / 망구박스 마켓 공지 🗓,82506,1845,123,UCII-TCayU-6gkfzfgJKsFZw,망구 MANGOO,0.14908006690422515,2.236201003563377
fK3-Hv4i6QQ,개인주의자 애인 특,385613,7203,1063,UC2fRmj7qqiuD5VXtBO4hh2A,픽고 PICKGO,0.2756649801744236,1.8679349503258447
DR5vIPnqlYw,미국 슬리핑 기차에서 보낸 놀라운 34시간 ⎥🇺🇸미국1,582460,16170,1374,UC9gxOp_-R78phMHmv2bW_sg,원지의하루,0.23589602719500052,2.776156302578718
xQ2ztWBelJM,어린이날 못놀아서 금액 무제한 카드 선물했더니 쇼핑몰 통째로 털어버리는 클라쓰 ㅎㄷㄷ 카드 괜히 줬어ㅠ 가족 일상 브이로그 vlogㅣ토깽이네,289666,4554,570,UCniBqAPwwWIQLbYo4uK2RWg,토깽이네,0.19677835852326472,1.5721555170437675
Oi4lUI5jDRI,"트러블 하나 없는 나의 모닝, 나이트 스킨케어 루틴을 공개합니다💆‍♀️🛁",67920,970,91,UCII-TCayU-6gkfzfgJKsFZw,망구 MANGOO,0.1339811542991755,1.4281507656065962
2NAxMz0bNys,[TAENG LOG. #1] “이게 제 하루에여‼️” 오랜만에 놀토 브이로그 📝 (with 실버버튼 언박싱),296579,20449,963,UCFPI8MI3zmzTlV4W-oSy-Ig,TAEYEON Official,0.32470269304300037,6.894958847389734
hBw0jyBeW08,"[Eng]제주 대하드라마🍊 리얼 그대애로를 담다. 도시인에게 제주란...맛집, 친구 방문, 육아, 돌아기",513929,10121,569,UCkh6TlSape86-iHiehXvsmA,yoovlog,0.11071568251645655,1.9693381770633689
Xcq2Q41gvw8,{둥지트} 이게 바로 한 땀 한 땀 떼어 붙인 타일이란다... ~죽음의 타일 붙이기~,264517,4615,169,UCM1tYV4JD19npVJTeGMmD8Q,이승인 YISEUNGIN,0.06389003353281641,1.7446893772422942
nUwwhBqHIEY,"엄마가 더 바쁜 카야의 첫 방학일지🥲💜 (feat. 해쭈고모 선물 사기, 치과, 네일아트 받기, 셀프 메이크업하기)",122775,3974,213,UCBGNJPYHfRFB9h0ibvrKhGA,카야라니 [KaiaLani],0.17348808796579107,3.2368153125636323
zZZ8l-B4VzA,(24시간 VLOG) 기운없는 나에게 주는 특별한 하루 😶 / 파워 집순이...🏡 혼자서도 잘 놀아요 / 피부건강 챙기기 🍀,99269,1608,231,UCII-TCayU-6gkfzfgJKsFZw,망구 MANGOO,0.23270104463629127,1.61984103798769
CcN4_L2WBM0,(VLOG) 이사한 친구네 집에서 1박2일 먹고놀고 피부관리🤍ㅣ현실판 기생충 😎 | 깻잎논쟁 이제 듣기 싫으니 이걸로 결론내자…,78987,1098,81,UCII-TCayU-6gkfzfgJKsFZw,망구 MANGOO,0.1025485206426374,1.3901021687113069
MFF3CZkVwkI,"[Eng]제주살이 중도포기?! 1박 70만원 호캉스, 배🛥타고 육지로! 아리온 제주호 1등실, 아기와 제주, 제주하얏트호텔코너스위트룸",479858,8589,327,UCkh6TlSape86-iHiehXvsmA,yoovlog,0.06814515960971788,1.789904513418553
Oa-LBEn3Jf4,"[#인기급상승] 잠깐 타임, 상엽❤제시 진짜 연애 중? 찐친 지석 피셜 순애보인 삼겹 오빠, 이제 제시를 향한 마음을 공개해 주세요! | #식스센스3",39478,375,17,UCWYzc_p0GgfCepIWDHGFmEg,디글 :Diggle,0.043061958559197526,0.9498961446881807
lPfrZYYzh5Y,"48시간 백신 브이로그 💉 (파워 집순이의 삶..🏠) / 자취 브이로그, 부작용",179971,0,284,UCII-TCayU-6gkfzfgJKsFZw,망구 MANGOO,0.1578032016269288,0.0
vWjK8o9431g,일상Vlog | 집에서 노는게 제일 재밌어 ㅋㅋ,592667,18008,942,UCKFvoxDM0NoLChK9hCe7VfQ,삐루빼로,0.15894254277697256,3.038468482301191
BATAQszvTiI,붙임머리 절대 하지마세요..탈모 증상 때문에 눈물 흘림..근데 탈색했다고..?ㅋㅋ,228672,2238,171,UC81KlliBJxIR844123jup9A,푸들커플,0.07477959697732997,0.978694374475231
51Yy2QvUZGE,악덕 사장님들이 방에 편의점 만들고 너무 비싸게 팔아요 ㅋㅋㅋ(feat. 간식대장) 가족 일상 브이로그 vlog - 나다린TV,66382,1297,196,UCu6qUKhANKHSszxykjTqCKQ,나다린TV,0.2952607634599741,1.9538429092223795
6NuJ_qRk7hE,어버이날  🙅🏻‍♀️ 어머니날 🙆🏻‍♀️ 올해는 두아이의 엄마로서 보내는 마더스데이 💜,141518,4547,284,UCBGNJPYHfRFB9h0ibvrKhGA,카야라니 [KaiaLani],0.2006811854322418,3.21301883859297
